3.528	0.0258752	9.78412	9.81
3.552	3.16194e-05	9.80997	9.81
3.576	0.0296198	9.78038	9.81
3.6	0.114636	9.69536	9.81
3.624	0.255052	9.55494	9.80999
3.648	0.450767	9.35921	9.80997
3.672	0.701527	9.10841	9.80994
3.696	1.00681	8.80306	9.80988
3.72	1.3657	8.44408	9.80977
3.744	1.77669	8.03293	9.80962
3.768	2.23752	7.57188	9.8094
3.792	2.74496	7.06414	9.80909
3.816	3.29461	6.51408	9.8087
3.84	3.88071	5.92748	9.80819
3.864	4.49597	5.3116	9.80757
3.888	5.13145	4.67538	9.80684
3.912	5.77658	4.0294	9.80599
3.936	6.41921	3.38584	9.80505
3.96	7.0458	2.75823	9.80403
3.984	7.6418	2.16117	9.80298
4.008	8.19214	1.60979	9.80193
4.032	8.68181	1.11913	9.80093
4.056	9.09658	0.703461	9.80005
4.08	9.42379	0.375529	9.79931
4.104	9.653	0.145793	9.79879
4.128	9.7767	0.0218012	9.7985
4.152	9.79076	0.00770383	9.79847
4.176	9.69472	0.103976	9.79869
4.2	9.49177	0.307386	9.79916
4.224	9.18863	0.611212	9.79984
4.248	8.79502	1.00568	9.8007
4.272	8.32311	1.47856	9.80167
4.296	7.78681	2.0159	9.80271
4.32	7.20099	2.60277	9.80377
4.344	6.58077	3.22402	9.80479
4.368	5.9409	3.86486	9.80576
4.392	5.29519	4.51144	9.80663
4.416	4.65618	5.15121	9.80739
4.44	4.03487	5.77318	9.80804
4.464	3.44059	6.36799	9.80858
4.488	2.88106	6.92795	9.809
4.512	2.3624	7.44693	9.80933
4.536	1.88936	7.92021	9.80957
4.56	1.46544	8.3443	9.80974
4.584	1.09312	8.71673	9.80985
4.608	0.774084	9.03584	9.80993
4.632	0.509384	9.30058	9.80997
4.656	0.299626	9.51036	9.80999
4.68	0.145121	9.66487	9.80999
4.704	0.0460002	9.764	9.81
4.728	0.00230364	9.80769	9.81
4.752	0.0140387	9.79596	9.81
4.776	0.081204	9.72879	9.81
4.8	0.203783	9.60621	9.80999
4.824	0.381706	9.42827	9.80998
4.848	0.614779	9.19517	9.80995
4.872	0.902581	8.90732	9.8099
4.896	1.24434	8.56548	9.80981
4.92	1.63875	8.17093	9.80968
4.944	2.08383	7.72565	9.80948
4.968	2.57668	7.23252	9.8092
4.992	3.1133	6.69554	9.80883
5.016	3.68838	6.11999	9.80836
5.04	4.29514	5.51264	9.80778
5.064	4.92518	4.8819	9.80708
5.088	5.56846	4.23781	9.80627
5.112	6.21331	3.59205	9.80536
5.136	6.84661	2.95775	9.80436
5.16	7.4541	2.34922	9.80332
5.184	8.0208	1.78146	9.80226
5.208	8.53162	1.26963	9.80124
5.232	8.97198	0.828332	9.80032
5.256	9.32865	0.470878	9.79953
5.28	9.59039	0.208539	9.79893
5.304	9.7487	0.0498656	9.79856
5.328	9.79831	0.000142387	9.79845
5.352	9.73755	0.0610437	9.79859
5.376	9.56846	0.23052	9.79898
5.4	9.29667	0.502937	9.7996
5.424	8.93097	0.869439	9.8004
5.448	8.48283	1.31852	9.80134
5.472	7.96567	1.83669	9.80237
5.496	7.39415	2.40928	9.80343
5.52	6.78337	3.0211	9.80447
5.544	6.14827	3.65719	9.80546
5.568	5.503	4.30336	9.80636
5.592	4.86056	4.9466	9.80716
5.616	4.23244	5.5754	9.80785
5.64	3.62854	6.17988	9.80842
5.664	3.05707	6.75181	9.80888
5.688	2.52467	7.28456	9.80923
5.712	2.0365	7.773	9.8095
5.736	1.59644	8.21325	9.80969
5.76	1.20728	8.60254	9.80982
5.784	0.870946	8.93896	9.80991
5.808	0.588661	9.2213	9.80996
5.832	0.361162	9.44882	9.80998
5.856	0.188841	9.62115	9.80999
5.88	0.0718747	9.73812	9.81
5.904	0.0103257	9.79967	9.81
5.928	0.00420754	9.80579	9.81
5.952	0.0535208	9.75648	9.81
5.976	0.158257	9.65174	9.80999
6	0.318368	9.49162	9.80998
6.024	0.533711	9.27625	9.80996
6.048	0.803951	9.00597	9.80992
6.072	1.12844	8.6814	9.80984
6.096	1.50608	8.30365	9.80973
6.12	1.93511	7.87444	9.80955
6.144	2.41295	7.39635	9.8093
6.168	2.93598	6.87298	9.80896
6.192	3.49934	6.30918	9.80853
6.216	4.09674	5.71125	9.80798
6.24	4.7203	5.08702	9.80732
6.264	5.36051	4.44603	9.80655
6.288	6.00623	3.79944	9.80566
6.312	6.64476	3.15994	9.80469
6.336	7.26217	2.54149	9.80366
6.36	7.84366	1.95894	9.8026
6.384	8.3741	1.42746	9.80157
6.408	8.83869	0.961915	9.8006
6.432	9.22365	0.576114	9.79976
6.456	9.51704	0.282064	9.7991
6.48	9.7094	0.0892598	9.79866
6.504	9.79437	0.00408535	9.79846
6.528	9.76911	0.0294023	9.79852
6.552	9.63447	0.164358	9.79883
6.576	9.39494	0.404441	9.79938
6.6	9.05835	0.741783	9.80013
6.624	8.63537	1.16566	9.80103
6.648	8.13889	1.66314	9.80203
6.672	7.58324	2.21985	9.80308
6.696	6.98345	2.82069	9.80414
6.72	6.35459	3.45056	9.80515
6.744	5.71111	4.09497	9.80608
6.768	5.06643	4.74049	9.80692
6.792	4.43254	5.3751	9.80764
6.816	3.81986	5.98838	9.80825
6.84	3.23715	6.57159	9.80874
6.864	2.69153	7.11759	9.80913
6.888	2.18864	7.62079	9.80942
6.912	1.73273	8.07691	9.80964
6.936	1.32693	8.48286	9.80979
6.96	0.973418	8.83647	9.80988
6.984	0.673623	9.13632	9.80994
7.008	0.428423	9.38155	9.80998
7.032	0.238303	9.57169	9.80999
7.056	0.103498	9.7065	9.81
7.08	0.0240978	9.7859	9.81
7.104	0.000126478	9.80987	9.81
7.128	0.0315869	9.77841	9.81
7.152	0.118475	9.69152	9.81
7.176	0.260761	9.54923	9.80999
7.2	0.45834	9.35163	9.80997
7.224	0.710952	9.09898	9.80994
7.248	1.01807	8.79181	9.80987
7.272	1.37874	8.43103	9.80977
7.296	1.79145	8.01816	9.80961
7.32	2.25392	7.55547	9.80939
7.344	2.76286	7.04622	9.80908
7.368	3.31385	6.49483	9.80868
7.392	3.90106	5.90711	9.80817
7.416	4.51716	5.29039	9.80755
7.44	5.15315	4.65366	9.80681
7.464	5.7984	4.00756	9.80596
